week_start,week_end,client_family,mcp_remote_share_pct,usage_index_0_100
2025-06-30,2025-07-06,Claude Code,45.6522,0.0361
2025-07-07,2025-07-13,Claude Code,20.8286,0.0691
2025-07-14,2025-07-20,Claude Code,13.9542,0.1301
2025-07-21,2025-07-27,Claude Code,20.5397,0.1046
2025-07-21,2025-07-27,OpenCode,0.0,0.0789
2025-07-28,2025-08-03,Claude Code,25.4357,0.1058
2025-08-04,2025-08-10,Claude Code,33.8832,0.1141
2025-08-11,2025-08-17,Claude Code,26.4989,0.1059
2025-08-18,2025-08-24,Claude Code,19.9849,0.1562
2025-08-18,2025-08-24,Codex,100.0,0.0039
2025-08-25,2025-08-31,Claude Code,8.9135,0.1909
2025-08-25,2025-08-31,Codex,100.0,0.0096
2025-09-01,2025-09-07,Claude Code,1.3818,0.8201
2025-09-01,2025-09-07,Codex,100.0,0.0153
2025-09-01,2025-09-07,OpenCode,41.3793,0.7626
2025-09-08,2025-09-14,Claude Code,4.4915,0.3867
2025-09-08,2025-09-14,Codex,85.8156,0.019
2025-09-08,2025-09-14,OpenCode,7.2727,1.4462
2025-09-15,2025-09-21,Claude Code,2.8205,0.2447
2025-09-15,2025-09-21,Codex,100.0,0.024
2025-09-15,2025-09-21,OpenCode,25.8065,0.8151
2025-09-22,2025-09-28,Claude Code,1.9878,0.2959
2025-09-22,2025-09-28,Codex,100.0,0.0288
2025-09-22,2025-09-28,OpenCode,50.9804,1.341
2025-09-29,2025-10-05,Claude Code,4.5252,0.2816
2025-09-29,2025-10-05,Codex,100.0,0.0228
2025-09-29,2025-10-05,OpenCode,11.1111,0.71
2025-10-06,2025-10-12,Claude Code,6.8546,0.274
2025-10-06,2025-10-12,Codex,80.8163,0.0331
2025-10-06,2025-10-12,OpenCode,7.6087,2.4191
2025-10-13,2025-10-19,Claude Code,4.0043,0.5797
2025-10-13,2025-10-19,Codex,74.5495,0.0599
2025-10-13,2025-10-19,OpenCode,7.947,3.9705
2025-10-20,2025-10-26,Claude Code,7.1925,0.2595
2025-10-20,2025-10-26,Codex,82.0,0.0405
2025-10-20,2025-10-26,OpenCode,30.4348,1.2096
2025-10-27,2025-11-02,Claude Code,6.3919,0.2816
2025-10-27,2025-11-02,Codex,83.7398,0.0498
2025-10-27,2025-11-02,OpenCode,20.7207,2.9187
2025-11-03,2025-11-09,Claude Code,4.5598,0.3362
2025-11-03,2025-11-09,Codex,86.2647,0.0806
2025-11-03,2025-11-09,OpenCode,11.236,2.3403
2025-11-10,2025-11-16,Claude Code,3.1377,0.3462
2025-11-10,2025-11-16,Codex,61.4699,0.0606
2025-11-10,2025-11-16,OpenCode,19.403,1.7618
2025-11-17,2025-11-23,Claude Code,3.402,0.3446
2025-11-17,2025-11-23,Codex,51.9393,0.0801
2025-11-17,2025-11-23,OpenCode,10.8108,0.9729
2025-11-24,2025-11-30,Claude Code,3.8193,0.3029
2025-11-24,2025-11-30,Codex,65.6667,0.081
2025-11-24,2025-11-30,OpenCode,0.3106,8.467
2025-12-01,2025-12-07,Claude Code,3.4399,0.3226
2025-12-01,2025-12-07,Codex,46.4912,0.0616
2025-12-01,2025-12-07,OpenCode,4.5213,9.8869
2025-12-08,2025-12-14,Claude Code,3.9737,0.3582
2025-12-08,2025-12-14,Codex,50.9302,0.0581
2025-12-08,2025-12-14,OpenCode,1.8018,11.675
2025-12-15,2025-12-21,Claude Code,15.8336,0.8088
2025-12-15,2025-12-21,Codex,58.3333,0.0713
2025-12-15,2025-12-21,OpenCode,9.0508,11.9116
2025-12-22,2025-12-28,Claude Code,7.0602,0.7831
2025-12-22,2025-12-28,Codex,61.5016,0.0845
2025-12-22,2025-12-28,OpenCode,5.7203,12.4113
